                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
     0           1      2.96125e+06                      1.96e+06
     1           2           980164    5.10482e-07       6.69e+05  
     2           3           492259              1       2.68e+05  
     3           4           269306              1       1.13e+05  
     4           5           149499              1       5.29e+04  
     5           6            84850              1        2.8e+04  
     6           7          49935.9              1       1.53e+04  
     7           8          30662.9              1       8.46e+03  
     8           9          19953.2              1       6.51e+03  
     9          10          13554.3              1       5.15e+03  
    10          11          9747.74              1          4e+03  
    11          12          7135.16              1       2.97e+03  
    12          13          5188.71              1       2.22e+03  
    13          14          3611.29              1       1.65e+03  
    14          15          2475.68              1       1.18e+03  
    15          16           1725.1              1            791  
    16          17          1286.33              1            508  
    17          18          1034.15              1            314  
    18          19          883.779              1            215  
    19          20          800.711              1            199  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
    20          21          756.779              1            187  
    21          22          734.607              1            175  
    22          23          725.296              1            165  
    23          24          722.921              1            159  
    24          25          722.558              1            156  
    25          26          722.461              1            155  
    26          27          722.196              1            153  
    27          28          721.701              1            151  
    28          29          720.066              1            146  
    29          30          716.191              1            137  
    30          31          707.446              1            122  
    31          32          688.187              1           97.3  
    32          33          652.206              1             67  
    33          34          579.838              1           42.5  
    34          35          444.015              1           21.4  
    35          36          261.701              1           10.9  
    36          38          211.396            0.5           28.5  
    37          39          194.049              1           46.6  
    38          40          152.167              1           30.8  
    39          41          116.302              1           19.5  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
    40          42          96.6991              1           14.7  
    41          43          82.7316              1           14.7  
    42          44          75.4016              1           15.6  
    43          45          72.4136              1           16.6  
    44          46          71.6957              1           16.5  
    45          47          71.5829              1           15.8  
    46          48          71.5719              1           15.4  
    47          49          71.5713              1           15.3  
    48          50          71.5709              1           15.2  
    49          51            71.57              1           15.2  
    50          52          71.5678              1           15.1  
    51          53          71.5621              1           14.9  
    52          54          71.5471              1           14.6  
    53          55          71.5088              1           14.1  
    54          56          71.4074              1           13.2  
    55          57           71.149              1           11.8  
    56          58          70.5309              1           9.51  
    57          59          69.2547              1           6.67  
    58          60          66.0527              1           3.19  
    59          61          58.6933              1           2.43  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
