
About to descent, first step might be slow...
Starting parallel pool (parpool) using the 'local' profile ... connected to 4 workers.

descent iter#1; J = 0.0732018; |GJ| = 0.00960159; tau = 480

descent iter#2; J = 0.0251302; |GJ| = 0.106888; tau = 0.117188

descent iter#3; J = 0.0240519; |GJ| = 0.0698162; tau = 0.234375

descent iter#4; J = 0.0231344; |GJ| = 0.0457569; tau = 0.46875

descent iter#5; J = 0.0223377; |GJ| = 0.0308779; tau = 0.9375

descent iter#6; J = 0.0216003; |GJ| = 0.0217878; tau = 3.75

descent iter#7; J = 0.0202836; |GJ| = 0.0150946; tau = 15

descent iter#8; J = 0.0178293; |GJ| = 0.0328019; tau = 0.46875

descent iter#9; J = 0.0174652; |GJ| = 0.0171283; tau = 0.9375

descent iter#10; J = 0.017252; |GJ| = 0.0117143; tau = 15

descent iter#11; J = 0.0156281; |GJ| = 0.0248379; tau = 0.9375

descent iter#12; J = 0.0151228; |GJ| = 0.016659; tau = 0.46875

descent iter#13; J = 0.015017; |GJ| = 0.0115833; tau = 1.875

descent iter#14; J = 0.0148265; |GJ| = 0.0208521; tau = 0.117188

descent iter#15; J = 0.0147853; |GJ| = 0.0139033; tau = 0.234375

descent iter#16; J = 0.0147481; |GJ| = 0.0107291; tau = 7.5

descent iter#17; J = 0.0141076; |GJ| = 0.0304047; tau = 0.234375

descent iter#18; J = 0.013952; |GJ| = 0.0125223; tau = 0.234375

descent iter#19; J = 0.0139244; |GJ| = 0.0092153; tau = 7.5

descent iter#20; J = 0.0134374; |GJ| = 0.0324643; tau = 0.117188

descent iter#21; J = 0.0133384; |GJ| = 0.0189756; tau = 0.117188

descent iter#22; J = 0.0133064; |GJ| = 0.0106074; tau = 0.234375

descent iter#23; J = 0.0132871; |GJ| = 0.00903179; tau = 0.46875

descent iter#24; J = 0.0132566; |GJ| = 0.0106867; tau = 0.234375

descent iter#25; J = 0.0132375; |GJ| = 0.00908505; tau = 0.46875

descent iter#26; J = 0.013208; |GJ| = 0.0110824; tau = 0.117188

descent iter#27; J = 0.0131959; |GJ| = 0.00855322; tau = 0.9375

descent iter#28; J = 0.013139; |GJ| = 0.0140232; tau = 0.117188

descent iter#29; J = 0.0131228; |GJ| = 0.00835846; tau = 3.75

descent iter#30; J = 0.012933; |GJ| = 0.0275791; tau = 0.117188

descent iter#31; J = 0.0128689; |GJ| = 0.012224; tau = 0.117188

descent iter#32; J = 0.0128554; |GJ| = 0.00819297; tau = 0.9375

descent iter#33; J = 0.0128029; |GJ| = 0.0139103; tau = 0.0585938

descent iter#34; J = 0.0127935; |GJ| = 0.00976303; tau = 0.117188

descent iter#35; J = 0.0127841; |GJ| = 0.0079547; tau = 30

descent iter#36; J = 0.0114205; |GJ| = 0.0669894; tau = 0.0585938

descent iter#37; J = 0.011195; |GJ| = 0.0462406; tau = 0.0585938

descent iter#38; J = 0.0110969; |GJ| = 0.0252158; tau = 0.0585938

descent iter#39; J = 0.0110697; |GJ| = 0.0118114; tau = 0.0585938

descent iter#40; J = 0.0110634; |GJ| = 0.00729857; tau = 0.234375

descent iter#41; J = 0.0110545; |GJ| = 0.00899102; tau = 0.0585938

descent iter#42; J = 0.0110506; |GJ| = 0.00671937; tau = 0.46875

descent iter#43; J = 0.0110328; |GJ| = 0.00977483; tau = 0.0585938

descent iter#44; J = 0.0110282; |GJ| = 0.00690124; tau = 0.234375

descent iter#45; J = 0.0110188; |GJ| = 0.00783375; tau = 0.117188

descent iter#46; J = 0.0110133; |GJ| = 0.00680708; tau = 0.46875

descent iter#47; J = 0.0109971; |GJ| = 0.0119851; tau = 0.0585938

descent iter#48; J = 0.010991; |GJ| = 0.00689755; tau = 0.234375

descent iter#49; J = 0.0109818; |GJ| = 0.00783122; tau = 0.117188

descent iter#50; J = 0.0109762; |GJ| = 0.00675816; tau = 0.46875

descent iter#51; J = 0.0109598; |GJ| = 0.0110301; tau = 0.0585938

descent iter#52; J = 0.0109543; |GJ| = 0.0070311; tau = 0.234375

descent iter#53; J = 0.0109453; |GJ| = 0.0084402; tau = 0.0585938

descent iter#54; J = 0.0109418; |GJ| = 0.0065901; tau = 0.9375

descent iter#55; J = 0.0109106; |GJ| = 0.0148981; tau = 0.0585938

descent iter#56; J = 0.0109011; |GJ| = 0.00775895; tau = 0.117188

descent iter#57; J = 0.0108956; |GJ| = 0.00672926; tau = 0.46875

descent iter#58; J = 0.0108799; |GJ| = 0.0114402; tau = 0.0585938

descent iter#59; J = 0.0108741; |GJ| = 0.00701292; tau = 0.234375

descent iter#60; J = 0.0108654; |GJ| = 0.00859323; tau = 0.0585938

descent iter#61; J = 0.0108618; |GJ| = 0.00653663; tau = 0.9375

descent iter#62; J = 0.0108314; |GJ| = 0.0150836; tau = 0.0585938

descent iter#63; J = 0.0108218; |GJ| = 0.00767502; tau = 0.117188

descent iter#64; J = 0.0108164; |GJ| = 0.00669861; tau = 0.46875

descent iter#65; J = 0.0108014; |GJ| = 0.0118162; tau = 0.0585938

descent iter#66; J = 0.0107953; |GJ| = 0.00698593; tau = 0.234375

descent iter#67; J = 0.0107868; |GJ| = 0.00872048; tau = 0.0585938

descent iter#68; J = 0.0107832; |GJ| = 0.00648109; tau = 0.9375

descent iter#69; J = 0.0107534; |GJ| = 0.0151237; tau = 0.0585938

descent iter#70; J = 0.0107438; |GJ| = 0.00755733; tau = 0.117188

descent iter#71; J = 0.0107386; |GJ| = 0.00665882; tau = 0.234375

descent iter#72; J = 0.0107298; |GJ| = 0.00761393; tau = 0.117188

descent iter#73; J = 0.0107246; |GJ| = 0.00667404; tau = 0.234375

descent iter#74; J = 0.0107158; |GJ| = 0.00770065; tau = 0.117188

descent iter#75; J = 0.0107106; |GJ| = 0.00669892; tau = 0.234375

descent iter#76; J = 0.010702; |GJ| = 0.00782126; tau = 0.117188

descent iter#77; J = 0.0106967; |GJ| = 0.00673514; tau = 0.234375

descent iter#78; J = 0.0106882; |GJ| = 0.00798101; tau = 0.117188

descent iter#79; J = 0.0106829; |GJ| = 0.00678502; tau = 0.234375

descent iter#80; J = 0.0106745; |GJ| = 0.0081866; tau = 0.0585938

descent iter#81; J = 0.0106711; |GJ| = 0.00640907; tau = 0.9375

descent iter#82; J = 0.0106433; |GJ| = 0.0173536; tau = 0.0292969

descent iter#83; J = 0.0106362; |GJ| = 0.0111112; tau = 0.0585938

descent iter#84; J = 0.010631; |GJ| = 0.00647168; tau = 0.46875

descent iter#85; J = 0.0106155; |GJ| = 0.0106059; tau = 0.0585938

descent iter#86; J = 0.0106105; |GJ| = 0.00661076; tau = 0.234375

descent iter#87; J = 0.0106021; |GJ| = 0.0078461; tau = 0.117188

descent iter#88; J = 0.010597; |GJ| = 0.00680617; tau = 0.234375

descent iter#89; J = 0.0105889; |GJ| = 0.00864764; tau = 0.0585938

descent iter#90; J = 0.0105854; |GJ| = 0.00631905; tau = 0.9375

descent iter#91; J = 0.0105556; |GJ| = 0.0140518; tau = 0.0585938

descent iter#92; J = 0.0105474; |GJ| = 0.007044; tau = 0.117188

descent iter#93; J = 0.0105427; |GJ| = 0.00647558; tau = 0.46875

descent iter#94; J = 0.0105284; |GJ| = 0.0115936; tau = 0.0585938

descent iter#95; J = 0.0105226; |GJ| = 0.00664142; tau = 0.234375

descent iter#96; J = 0.0105145; |GJ| = 0.0082245; tau = 0.0585938

descent iter#97; J = 0.0105113; |GJ| = 0.00624394; tau = 0.9375

descent iter#98; J = 0.0104806; |GJ| = 0.0127392; tau = 0.0585938

