descent iter#1; J = 0.07444; |GJ| = 0.0088921; tau = 600

descent iter#2; J = 0.0234314; |GJ| = 0.0125567; tau = 37.5

descent iter#3; J = 0.0194144; |GJ| = 0.126074; tau = 0.0732422

descent iter#4; J = 0.0186148; |GJ| = 0.0563924; tau = 0.0732422

descent iter#5; J = 0.0184195; |GJ| = 0.0392396; tau = 0.146484

descent iter#6; J = 0.018243; |GJ| = 0.0237051; tau = 0.292969

descent iter#7; J = 0.0181187; |GJ| = 0.0139002; tau = 0.585938

descent iter#8; J = 0.0180264; |GJ| = 0.0102926; tau = 4.6875

descent iter#9; J = 0.017615; |GJ| = 0.0116777; tau = 2.34375

descent iter#10; J = 0.0173865; |GJ| = 0.0121713; tau = 1.17188

descent iter#11; J = 0.0172696; |GJ| = 0.00988582; tau = 2.34375

descent iter#12; J = 0.0170757; |GJ| = 0.0112475; tau = 1.17188

descent iter#13; J = 0.0169703; |GJ| = 0.0097945; tau = 2.34375

descent iter#14; J = 0.0167937; |GJ| = 0.0127801; tau = 0.585938

descent iter#15; J = 0.0167245; |GJ| = 0.00895512; tau = 37.5

descent iter#16; J = 0.0143114; |GJ| = 0.061137; tau = 0.0732422

descent iter#17; J = 0.0141147; |GJ| = 0.0292527; tau = 0.0732422

descent iter#18; J = 0.0140638; |GJ| = 0.0187906; tau = 0.146484

descent iter#19; J = 0.0140264; |GJ| = 0.00973165; tau = 0.292969

descent iter#20; J = 0.0140051; |GJ| = 0.00722252; tau = 75

descent iter#21; J = 0.0109691; |GJ| = 0.0858193; tau = 0.0366211

descent iter#22; J = 0.0107603; |GJ| = 0.0491025; tau = 0.0366211

descent iter#23; J = 0.0106869; |GJ| = 0.0330212; tau = 0.0732422

descent iter#24; J = 0.0106288; |GJ| = 0.0159999; tau = 0.0732422

descent iter#25; J = 0.0106139; |GJ| = 0.00990285; tau = 0.146484

descent iter#26; J = 0.0106036; |GJ| = 0.00566485; tau = 1.17188

descent iter#27; J = 0.0105753; |GJ| = 0.00918467; tau = 0.146484

descent iter#28; J = 0.0105655; |GJ| = 0.00598111; tau = 0.585938

descent iter#29; J = 0.0105502; |GJ| = 0.00744295; tau = 0.292969

descent iter#30; J = 0.0105399; |GJ| = 0.00595238; tau = 0.585938

descent iter#31; J = 0.0105247; |GJ| = 0.00739252; tau = 0.292969

descent iter#32; J = 0.0105146; |GJ| = 0.00593438; tau = 0.585938

descent iter#33; J = 0.0104994; |GJ| = 0.00737713; tau = 0.292969

descent iter#34; J = 0.0104893; |GJ| = 0.00592791; tau = 0.585938

descent iter#35; J = 0.0104743; |GJ| = 0.00740017; tau = 0.292969

descent iter#36; J = 0.0104642; |GJ| = 0.00593453; tau = 0.585938

descent iter#37; J = 0.0104493; |GJ| = 0.00746736; tau = 0.292969

descent iter#38; J = 0.0104392; |GJ| = 0.00595682; tau = 0.585938

descent iter#39; J = 0.0104246; |GJ| = 0.0075877; tau = 0.292969

descent iter#40; J = 0.0104144; |GJ| = 0.00599896; tau = 0.292969

descent iter#41; J = 0.0104055; |GJ| = 0.00545907; tau = 1.17188

descent iter#42; J = 0.0103761; |GJ| = 0.00792563; tau = 0.292969

descent iter#43; J = 0.0103647; |GJ| = 0.00586928; tau = 0.585938

descent iter#44; J = 0.0103502; |GJ| = 0.00716546; tau = 0.292969

descent iter#45; J = 0.01034; |GJ| = 0.00570206; tau = 0.585938

descent iter#46; J = 0.0103251; |GJ| = 0.00671041; tau = 0.292969

descent iter#47; J = 0.0103155; |GJ| = 0.00559614; tau = 0.585938

descent iter#48; J = 0.0103004; |GJ| = 0.0064179; tau = 0.292969

descent iter#49; J = 0.0102912; |GJ| = 0.00552413; tau = 1.17188

descent iter#50; J = 0.0102655; |GJ| = 0.00950895; tau = 0.146484

descent iter#51; J = 0.0102553; |GJ| = 0.00584479; tau = 0.585938

descent iter#52; J = 0.0102413; |GJ| = 0.00755259; tau = 0.146484

descent iter#53; J = 0.0102347; |GJ| = 0.00533062; tau = 2.34375

descent iter#54; J = 0.0101839; |GJ| = 0.011888; tau = 0.146484

descent iter#55; J = 0.0101685; |GJ| = 0.0064038; tau = 0.292969

descent iter#56; J = 0.0101595; |GJ| = 0.00549788; tau = 0.585938

descent iter#57; J = 0.0101448; |GJ| = 0.00633428; tau = 0.292969

descent iter#58; J = 0.0101359; |GJ| = 0.00547635; tau = 0.585938

descent iter#59; J = 0.0101213; |GJ| = 0.00629911; tau = 0.292969

descent iter#60; J = 0.0101125; |GJ| = 0.00546367; tau = 0.585938

descent iter#61; J = 0.0100979; |GJ| = 0.00629334; tau = 0.292969

descent iter#62; J = 0.0100891; |GJ| = 0.005459; tau = 0.585938

descent iter#63; J = 0.0100747; |GJ| = 0.00631472; tau = 0.292969

descent iter#64; J = 0.0100659; |GJ| = 0.00546215; tau = 0.585938

descent iter#65; J = 0.0100516; |GJ| = 0.00636286; tau = 0.292969

descent iter#66; J = 0.0100428; |GJ| = 0.00547346; tau = 0.585938

descent iter#67; J = 0.0100287; |GJ| = 0.00643879; tau = 0.292969

descent iter#68; J = 0.0100198; |GJ| = 0.00549369; tau = 0.585938

descent iter#69; J = 0.0100059; |GJ| = 0.00654471; tau = 0.292969

descent iter#70; J = 0.00999698; |GJ| = 0.00552398; tau = 0.585938

descent iter#71; J = 0.00998322; |GJ| = 0.00668365; tau = 0.292969

descent iter#72; J = 0.00997422; |GJ| = 0.00556581; tau = 0.585938

descent iter#73; J = 0.00996073; |GJ| = 0.00685929; tau = 0.292969
