                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
     0           1        0.0787943                         0.002
     1           5        0.0296679        484.083        0.00333  
     2           9        0.0188087      0.0952376        0.00189  
     3          10        0.0095461              1       0.000835  
     4          11       0.00373837              1        0.00255  
     5          12       0.00293696              1        0.00421  
     6          13      0.000711239              1       0.000228  
     7          14      0.000625089              1       0.000252  
     8          16      0.000402514       0.460522       0.000533  
     9          17      0.000336516              1       0.000184  
    10          18      0.000275395              1       8.29e-05  
    11          19      0.000244138              1       0.000215  
    12          21      0.000212941       0.493928       0.000251  
    13          22      0.000181284              1       0.000412  
    14          23      9.91433e-05              1       0.000175  
    15          24      8.17922e-05              1       0.000713  
    16          25      7.29389e-05              1       0.000478  
    17          26      5.47732e-05              1       0.000139  
    18          27      4.71271e-05              1       0.000172  
    19          28       3.5906e-05              1       0.000306  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
    20          29      1.93298e-05              1        0.00044  
    21          30      1.06737e-05              1       0.000177  
    22          31       4.8435e-06              1       0.000146  
    23          32      2.13535e-06              1       3.57e-05  
    24          33      9.13532e-07              1       5.23e-05  
    25          34      2.02416e-07              1        7.7e-06  
    26          35      2.89526e-08              1       4.27e-06  
    27          36      6.19126e-09              1       6.75e-06  
    28          37       1.4051e-09              1       1.67e-06  
    29          38      1.57388e-10              1       5.55e-07  
    30          39      5.82726e-11              1       3.41e-07  
    31          40      1.66373e-11              1       2.24e-07  
    32          41      1.70432e-12              1       7.05e-08  
    33          42      6.16705e-14              1       1.19e-08  
    34          43      6.19208e-16              1       7.73e-10  
    35          44      3.41474e-18              1       1.11e-10  
    36          45      4.17689e-20              1       8.82e-12  

Optimization completed: The <a href = "matlab: helpview([docroot '/toolbox/optim/msg_csh/optim_msg_csh.map'],'first_order_opt_unc','CSHelpWindow');">first-order optimality measure</a>, 8.804712e-12, is less 
than <a href = "matlab: helpview([docroot '/toolbox/optim/msg_csh/optim_msg_csh.map'],'tolfun','CSHelpWindow');">options.TolFun</a> = 1.000000e-10.

Optimization Metric                                            Options
relative norm(gradient) =   8.80e-12                  TolFun =   1e-10 (selected)

                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
     0           1         0.412775                        0.0957
     1           3          0.21341        3.38132          0.362  
     2           4         0.146558              1          0.189  
     3           6        0.0984425        0.60528          0.108  
     4           7        0.0801193              1          0.184  
     5           8        0.0596597              1         0.0506  
     6           9        0.0503832              1         0.0442  
     7          10        0.0421328              1         0.0745  
     8          11        0.0341646              1         0.0243  
     9          12        0.0280971              1         0.0174  
    10          13        0.0233771              1         0.0155  
    11          14        0.0205032              1         0.0115  
    12          15        0.0169246              1         0.0287  
    13          16        0.0146103              1         0.0229  
    14          17        0.0124122              1         0.0129  
    15          18         0.010083              1         0.0107  
    16          19       0.00884344              1         0.0102  
    17          20       0.00757534              1        0.00666  
    18          21       0.00656062              1        0.00551  
    19          22       0.00587761              1         0.0071  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
    20          23       0.00514809              1        0.00509  
    21          24       0.00456571              1        0.00375  
    22          25       0.00409225              1         0.0031  
    23          26       0.00373679              1        0.00258  
    24          27       0.00342353              1        0.00336  
    25          28       0.00311281              1        0.00257  
    26          29       0.00284237              1        0.00216  
    27          30       0.00259691              1        0.00228  
    28          31       0.00238374              1        0.00274  
    29          32       0.00217297              1        0.00357  
    30          33       0.00196535              1        0.00275  
    31          34       0.00176027              1        0.00222  
    32          35       0.00160572              1        0.00159  
    33          36       0.00146932              1        0.00221  
    34          37       0.00135504              1         0.0023  
    35          38       0.00124527              1        0.00134  
    36          39       0.00115363              1        0.00131  
    37          40       0.00106437              1        0.00127  
    38          41      0.000987109              1        0.00151  
    39          42      0.000915076              1        0.00119  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
    40          43      0.000855006              1        0.00156  
    41          44      0.000796345              1        0.00132  
    42          45      0.000745092              1        0.00127  
    43          46      0.000696006              1       0.000846  
    44          47      0.000655373              1       0.000737  
    45          48      0.000614247              1       0.000892  
    46          49      0.000578108              1        0.00102  
    47          50      0.000543179              1       0.000763  
    48          51       0.00051153              1       0.000717  
    49          52      0.000479747              1        0.00077  
    50          53      0.000450735              1       0.000708  
    51          54      0.000424358              1       0.000928  
    52          55      0.000402033              1       0.000633  
    53          56      0.000381579              1        0.00063  
    54          57      0.000362259              1       0.000626  
    55          58      0.000342222              1       0.000489  
    56          59      0.000323325              1       0.000504  
    57          60      0.000305814              1       0.000555  
    58          61       0.00029097              1       0.000415  
    59          62      0.000277466              1       0.000395  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
    60          63      0.000264824              1       0.000365  
    61          64      0.000252612              1       0.000474  
    62          65      0.000242063              1       0.000369  
    63          66      0.000233086              1        0.00029  
    64          67      0.000225141              1       0.000312  
    65          68      0.000217176              1        0.00033  
    66          69      0.000209464              1       0.000293  
    67          70      0.000202529              1       0.000228  
    68          71      0.000196627              1       0.000231  
    69          72      0.000191272              1       0.000327  
    70          73      0.000186195              1       0.000301  
    71          74      0.000181237              1       0.000205  
    72          75      0.000176458              1       0.000207  
    73          76       0.00017162              1       0.000294  
    74          77      0.000166778              1       0.000267  
    75          78      0.000162057              1       0.000233  
    76          79      0.000157706              1       0.000201  
    77          80      0.000153513              1       0.000252  
    78          81      0.000149365              1       0.000262  
    79          82      0.000145283              1       0.000212  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
    80          83      0.000141459              1       0.000197  
    81          84      0.000137798              1       0.000216  
    82          85      0.000134146              1       0.000257  
    83          86      0.000130501              1       0.000195  
    84          87      0.000127058              1       0.000174  
    85          88      0.000123801              1       0.000193  
