test_script
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
     0           1          35368.9                      3.02e+03
     1           2          9009.62    0.000331674       1.05e+03  
     2           3          1202.32              1            395  
     3           4          788.643              1            285  
     4           5          573.526              1            209  
     5           6            244.2              1            139  
     6           7          195.993              1             95  
     7           8          148.151              1            101  
     8           9          123.954              1           92.8  
     9          10          95.2718              1           52.9  
    10          11           88.754              1           38.1  
    11          12          84.8834              1           34.5  
    12          13          77.4343              1           29.5  
    13          14          72.3412              1           27.1  
    14          15          67.2765              1           36.5  
    15          16          64.8947              1           41.4  
    16          17          61.6814              1           33.4  
    17          18          58.2231              1           24.1  
    18          19          54.8795              1           26.3  
    19          20          53.0729              1           22.4  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
    20          21          51.9813              1           22.7  
    21          22          50.0048              1           22.6  
    22          23          46.8669              1             18  
    23          24          45.4028              1           19.4  
    24          25          44.3292              1             13  
    25          26          43.5705              1           12.1  
    26          27          42.3631              1           13.5  
    27          28          40.9536              1           15.7  
    28          29          40.1853              1           12.4  
    29          30          39.3324              1           11.3  
    30          31          38.4783              1           11.2  
    31          32          37.5739              1             12  
    32          33          36.8259              1           12.2  
    33          34          36.2658              1           8.34  
    34          35          35.7012              1           10.3  
    35          36          34.8187              1           12.6  
    36          37          34.0219              1           21.9  
    37          38          33.3495              1           16.2  
    38          39          32.8217              1           8.71  
    39          40          32.4142              1           9.45  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
    40          41          32.0657              1           9.24  
    41          42          31.5798              1           10.8  
    42          43          31.2347              1           9.89  
    43          44          30.9782              1           8.63  
    44          45          30.7143              1           8.42  
    45          46          30.2705              1           11.6  
    46          47          29.6588              1           15.1  
    47          48          29.0856              1           14.4  
    48          49          28.6275              1           11.6  
    49          50          27.9786              1           12.5  
    50          51          27.4547              1           11.1  
    51          52          26.9403              1           15.2  
    52          53          26.3418              1           10.9  
    53          54          25.8925              1           9.85  
    54          55          25.4401              1           8.98  
    55          56          24.9951              1           9.01  
    56          57          24.4602              1           10.2  
    57          58           24.005              1           10.4  
    58          59          23.4486              1           10.1  
    59          60          23.0287              1           10.1  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
    60          61          22.6733              1           10.6  
    61          62          22.3171              1           7.54  
    62          63          21.9527              1           8.85  
    63          64          21.5832              1           5.23  
    64          65          21.3741              1              5  
    65          66          21.0539              1           5.89  
    66          67          20.6703              1           7.51  
    67          68          20.3804              1           8.93  
    68          69          20.1944              1           5.72  
    69          70          20.0175              1           6.58  
    70          71          19.8277              1           8.02  
    71          72          19.4915              1           7.41  
    72          73           19.311              1           5.43  
    73          74          19.0391              1            4.1  
    74          75          18.8619              1            4.3  
    75          76          18.7182              1           4.11  
    76          77          18.5282              1           4.09  
    77          78          18.3563              1           6.55  
    78          79          18.1514              1           6.58  
    79          80          17.9047              1           5.01  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
    80          81          17.6121              1           4.63  
    81          82          17.4117              1           4.35  
    82          83          17.2623              1           5.07  
    83          84          17.0461              1           4.15  
    84          85          16.8125              1           4.52  
    85          86          16.6043              1           4.32  
    86          87          16.4616              1           8.45  
    87          88          16.3271              1           4.91  
    88          89          16.1617              1           4.42  
    89          90          15.7986              1           3.06  
    90          91          15.6333              1           4.78  
    91          92          15.4709              1           7.43  
    92          93          15.3793              1           5.22  
    93          94          15.2534              1           3.92  
    94          95          15.0748              1           3.62  
    95          96          14.9057              1            4.6  
    96          97          14.8081              1           5.35  
    97          98          14.7254              1           6.62  
    98          99          14.5745              1           6.05  
    99         100          14.4148              1           9.49  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   100         101          14.2671              1           4.97  
   101         102          14.1641              1           3.66  
   102         103          14.0876              1           2.79  
   103         104          14.0115              1           2.78  
   104         105           13.908              1           4.09  
   105         106           13.836              1           5.16  
   106         107          13.7576              1           3.65  
   107         108            13.69              1           2.73  
   108         109          13.5992              1           2.48  
   109         110          13.5405              1           2.96  
   110         111          13.4466              1           3.84  
   111         112          13.3811              1           3.59  
   112         113           13.314              1           2.76  
   113         114          13.2408              1           3.44  
   114         115          13.1645              1           4.43  
   115         116          13.0854              1           3.95  
   116         117          13.0086              1           5.47  
   117         118          12.9312              1           4.53  
   118         119          12.8511              1           3.66  
   119         120          12.7321              1           3.74  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   120         121          12.5854              1           6.87  
   121         123          12.3753            0.5           12.3  
   122         125          12.1968       0.628581           13.5  
   123         126          11.8505              1           9.29  
   124         127          11.5243              1           7.16  
   125         128          11.1583              1            7.8  
   126         129          10.8917              1           6.31  
   127         130          10.4151              1           6.67  
   128         131           10.206              1           4.57  
   129         132          10.0403              1           3.91  
   130         133          9.92079              1           3.13  
   131         134          9.85065              1           3.21  
   132         135          9.73792              1           3.11  
   133         136          9.59766              1           3.39  
   134         137          9.48695              1           3.99  
   135         138          9.40391              1           4.12  
   136         139          9.33707              1            4.5  
   137         140           9.2771              1           3.44  
   138         141          9.21639              1           3.01  
   139         142          9.17112              1            2.6  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   140         143          9.12317              1           2.37  
   141         144          9.06259              1           2.74  
   142         145          9.01958              1           2.44  
   143         146          8.98406              1           2.25  
   144         147          8.94811              1           2.66  
   145         148          8.91143              1           2.46  
   146         149          8.86563              1           2.13  
   147         150          8.81875              1           2.12  
   148         151          8.77589              1           1.79  
   149         152          8.74215              1           1.83  
   150         153          8.70991              1           1.95  
   151         154          8.67454              1           2.92  
   152         155          8.63494              1           2.97  
   153         156          8.59813              1           3.75  
   154         157          8.56359              1           2.04  
   155         158          8.53429              1           2.69  
   156         159          8.50682              1           2.64  
   157         160          8.48224              1           2.12  
   158         161           8.4488              1           2.16  
   159         162           8.4108              1           2.39  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   160         163          8.37024              1           1.95  
   161         164          8.33845              1              2  
   162         165          8.31521              1            2.1  
   163         166          8.29085              1           2.04  
   164         167           8.2559              1           1.86  
   165         168          8.22709              1           2.39  
   166         169          8.18357              1           2.53  
   167         170          8.14139              1           2.56  
   168         171          8.10187              1           2.57  
   169         172          8.05274              1            2.1  
   170         173          8.02997              1           3.59  
   171         174           7.9872              1           1.91  
   172         175          7.94934              1           1.39  
   173         176          7.91785              1           3.78  
   174         177          7.88677              1           2.54  
   175         178          7.84104              1           2.78  
   176         179          7.77552              1           4.84  
   177         180          7.73821              1           3.03  
   178         181          7.70362              1           2.37  
   179         182          7.64613              1           2.59  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   180         183          7.61338              1           3.35  
   181         184          7.57618              1           3.02  
   182         185          7.51326              1           3.21  
   183         186          7.44072              1            2.2  
   184         187          7.34526              1           3.93  
   185         188          7.29892              1           3.97  
   186         189          7.23638              1            4.3  
   187         190          7.10357              1           4.27  
   188         191          7.04279              1           3.74  
   189         192          6.97908              1           3.53  
   190         193          6.93981              1           2.57  
   191         194          6.89817              1           2.22  
   192         195          6.82854              1            2.8  
   193         196          6.80318              1           2.45  
   194         197          6.77277              1           1.85  
   195         198          6.74568              1           1.95  
   196         199          6.70738              1            2.1  
   197         200          6.67144              1           3.28  
