                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
     0           1            64832                      4.97e+03
     1           3          11764.2     8.1843e-05       2.08e+03  
     2           4          6108.05              1       1.29e+03  
     3           5          1327.18              1            334  
     4           6          956.765              1            292  
     5           7          764.269              1            280  
     6           8          628.964              1            251  
     7           9          456.422              1            188  
     8          10          314.054              1            169  
     9          11          278.637              1            175  
    10          12          242.579              1            126  
    11          13          198.348              1            112  
    12          14          154.191              1            140  
    13          15          146.594              1            136  
    14          16          135.618              1           96.6  
    15          17          116.026              1           84.9  
    16          18          102.947              1           56.5  
    17          19          98.1838              1           40.4  
    18          20          95.4753              1           51.5  
    19          21           88.828              1           33.3  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
    20          22          82.5667              1           25.9  
    21          23          80.9673              1           26.6  
    22          24          79.5768              1           21.4  
    23          25            78.15              1           16.7  
    24          26          76.5416              1             24  
    25          27          74.5497              1           46.2  
    26          28          73.5153              1           42.1  
    27          29          71.9483              1           27.4  
    28          30          70.7124              1           19.9  
    29          31          69.3456              1           29.1  
    30          32          68.3585              1           27.6  
    31          33           67.362              1           19.6  
    32          34          66.2241              1           19.8  
    33          35          64.9971              1           17.7  
    34          36          63.9705              1           27.2  
    35          37          63.1982              1           23.7  
    36          38          61.1683              1           18.4  
    37          39          59.9034              1           21.2  
    38          40          58.7007              1           20.3  
    39          41           57.907              1           32.5  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
    40          42          57.2364              1           17.9  
    41          43          56.6763              1             18  
    42          44          55.1714              1           16.7  
    43          45           54.554              1           16.2  
    44          46           53.963              1           21.9  
    45          47          53.3517              1           17.2  
    46          48          52.0348              1           17.7  
    47          49          51.4628              1           24.1  
    48          50          50.7515              1           27.5  
    49          51          49.8412              1           23.8  
    50          52           49.121              1           19.9  
    51          53          48.6886              1           16.1  
    52          54           48.232              1           18.3  
    53          55          47.8431              1           20.2  
    54          56          47.3648              1           17.6  
    55          57          46.9973              1           11.1  
    56          58          46.6544              1           8.68  
    57          59          46.3716              1             11  
    58          60          46.1223              1           9.86  
    59          61          44.9841              1           11.2  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
    60          62           44.734              1           12.4  
    61          63           44.447              1           11.3  
    62          64          44.2721              1           9.51  
    63          65           43.969              1           6.03  
    64          66          43.5913              1           8.55  
    65          67          43.3567              1           8.17  
    66          68          43.2139              1           6.93  
    67          69          43.0697              1           7.03  
    68          70          42.8357              1            6.3  
    69          71          42.5111              1           8.99  
    70          72          42.2219              1           8.38  
    71          73          42.0031              1           7.79  
    72          74          41.8669              1           6.54  
    73          75          41.6849              1           7.85  
    74          76          41.4214              1           12.5  
    75          77          41.0777              1           11.4  
    76          78          40.3729              1           11.7  
    77          79          40.1618              1           9.61  
    78          80          39.9817              1           8.75  
    79          81          39.7459              1           8.66  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
    80          82           39.701              1           12.5  
    81          83           39.435              1           6.95  
    82          84          39.2558              1           4.69  
    83          85          38.8948              1           4.89  
    84          86          38.6863              1           9.52  
    85          87          38.4847              1           12.9  
    86          88          38.3028              1           13.2  
    87          89          38.0423              1           9.91  
    88          90          37.8229              1           8.13  
    89          91          37.4574              1           7.21  
    90          92          37.3345              1           8.15  
    91          93          37.1413              1           10.8  
    92          94          36.9511              1           11.2  
    93          95          36.5784              1           9.06  
    94          96          36.2245              1           7.94  
    95          97          35.9486              1           9.65  
    96          98          35.7864              1           11.6  
    97          99          35.5832              1           10.8  
    98         100          35.2751              1           11.4  
    99         101          34.7634              1           11.3  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   100         102          34.0618              1             13  
   101         103          33.5975              1             13  
   102         104          33.3707              1           13.1  
   103         105          32.9572              1           13.1  
   104         106          32.4466              1           13.3  
   105         107          31.9213              1           11.7  
   106         108          31.2293              1           11.8  
   107         109          30.2775              1           11.6  
   108         110          29.9522              1           17.2  
   109         111          29.5313              1             16  
   110         112          29.2436              1           16.9  
   111         113           28.744              1           19.4  
   112         114          28.1751              1           11.1  
   113         115          27.7688              1           12.3  
   114         116          27.4932              1           6.23  
   115         117          27.3184              1           5.35  
   116         118          27.1444              1           5.41  
   117         119          26.9216              1           6.62  
   118         120          26.5671              1           7.98  
   119         121          26.2791              1           6.85  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   120         122          26.0136              1           7.34  
   121         123          25.8374              1           7.22  
   122         124          25.6979              1           6.21  
   123         125          25.5432              1           5.34  
   124         126          25.3957              1           5.65  
   125         127          25.2484              1           5.19  
   126         128          25.1106              1           7.29  
   127         129          24.9941              1           7.55  
   128         130          24.8957              1           6.59  
   129         131          24.7946              1           7.12  
   130         132          24.6629              1           6.64  
   131         133          24.5042              1           6.55  
   132         134          24.3638              1           5.28  
   133         135          24.2555              1            4.6  
   134         136          24.1608              1           5.33  
   135         137          24.0779              1           4.85  
   136         138           23.972              1           4.62  
   137         139          23.8399              1           5.99  
   138         140          23.6864              1           6.27  
   139         141           23.558              1           5.32  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   140         142          23.4815              1           6.04  
   141         143          23.4247              1           5.42  
   142         144          23.3466              1           5.28  
   143         145          23.2215              1           5.05  
   144         146          23.0696              1            7.1  
   145         147          22.9289              1           8.49  
   146         148            22.84              1           7.58  
   147         149          22.7714              1           6.26  
