
About to descent, first step might be slow...

descent iter#1; J = 0.0739144; |GJ| = 0.00746022; tau = 450

descent iter#2; J = 0.0168179; |GJ| = 0.507183; tau = 0.00686646

descent iter#3; J = 0.0155066; |GJ| = 0.26368; tau = 0.00686646

descent iter#4; J = 0.0151139; |GJ| = 0.173596; tau = 0.0137329

descent iter#5; J = 0.0148139; |GJ| = 0.0831672; tau = 0.0137329

descent iter#6; J = 0.0147385; |GJ| = 0.0501334; tau = 0.0137329

descent iter#7; J = 0.0147098; |GJ| = 0.0341827; tau = 0.0274658

descent iter#8; J = 0.0146859; |GJ| = 0.0200509; tau = 0.109863

descent iter#9; J = 0.0146531; |GJ| = 0.022119; tau = 0.0549316

descent iter#10; J = 0.0146322; |GJ| = 0.0177964; tau = 0.439453

descent iter#11; J = 0.0145174; |GJ| = 0.0313961; tau = 0.0274658

descent iter#12; J = 0.014496; |GJ| = 0.0197892; tau = 0.0549316

descent iter#13; J = 0.0144787; |GJ| = 0.0166854; tau = 0.439453

descent iter#14; J = 0.0143825; |GJ| = 0.0329555; tau = 0.0274658

descent iter#15; J = 0.0143596; |GJ| = 0.0192593; tau = 0.0549316

descent iter#16; J = 0.014344; |GJ| = 0.0159303; tau = 0.219727

descent iter#17; J = 0.0142978; |GJ| = 0.0226214; tau = 0.0274658

descent iter#18; J = 0.0142862; |GJ| = 0.0161724; tau = 0.109863

descent iter#19; J = 0.0142628; |GJ| = 0.0183474; tau = 0.0549316

descent iter#20; J = 0.0142489; |GJ| = 0.0155242; tau = 0.219727

descent iter#21; J = 0.0142094; |GJ| = 0.0265488; tau = 0.0274658

descent iter#22; J = 0.0141952; |GJ| = 0.0154872; tau = 0.109863

descent iter#23; J = 0.0141735; |GJ| = 0.0173903; tau = 0.0549316

descent iter#24; J = 0.0141605; |GJ| = 0.0148841; tau = 0.219727

descent iter#25; J = 0.0141222; |GJ| = 0.023098; tau = 0.0274658

descent iter#26; J = 0.0141107; |GJ| = 0.0152206; tau = 0.109863

descent iter#27; J = 0.0140908; |GJ| = 0.0180093; tau = 0.0274658

descent iter#28; J = 0.0140832; |GJ| = 0.0141869; tau = 0.439453

descent iter#29; J = 0.0140157; |GJ| = 0.0313247; tau = 0.0274658

descent iter#30; J = 0.013996; |GJ| = 0.0162605; tau = 0.0549316

descent iter#31; J = 0.0139849; |GJ| = 0.0140829; tau = 0.219727

descent iter#32; J = 0.0139538; |GJ| = 0.024616; tau = 0.0274658

descent iter#33; J = 0.0139413; |GJ| = 0.0145317; tau = 0.109863

descent iter#34; J = 0.0139244; |GJ| = 0.0182417; tau = 0.0274658

descent iter#35; J = 0.0139171; |GJ| = 0.0133458; tau = 0.439453

descent iter#36; J = 0.013859; |GJ| = 0.0313718; tau = 0.0274658

descent iter#37; J = 0.0138398; |GJ| = 0.0152735; tau = 0.0549316

descent iter#38; J = 0.01383; |GJ| = 0.0134439; tau = 0.109863

descent iter#39; J = 0.0138136; |GJ| = 0.0156779; tau = 0.0549316

descent iter#40; J = 0.0138038; |GJ| = 0.0135259; tau = 0.109863

descent iter#41; J = 0.0137881; |GJ| = 0.0163194; tau = 0.0274658

descent iter#42; J = 0.013782; |GJ| = 0.012712; tau = 0.439453

descent iter#43; J = 0.0137306; |GJ| = 0.0341381; tau = 0.0137329

descent iter#44; J = 0.0137177; |GJ| = 0.0215719; tau = 0.0274658

descent iter#45; J = 0.0137086; |GJ| = 0.0125113; tau = 0.219727

descent iter#46; J = 0.0136805; |GJ| = 0.0197076; tau = 0.0274658

descent iter#47; J = 0.0136724; |GJ| = 0.0125464; tau = 0.219727

descent iter#48; J = 0.0136476; |GJ| = 0.02396; tau = 0.0137329

descent iter#49; J = 0.0136411; |GJ| = 0.0167424; tau = 0.0274658

descent iter#50; J = 0.013635; |GJ| = 0.0120217; tau = 0.439453

descent iter#51; J = 0.013583; |GJ| = 0.0255018; tau = 0.0205994

descent iter#52; J = 0.0135726; |GJ| = 0.0151746; tau = 0.0411987

descent iter#53; J = 0.0135655; |GJ| = 0.011774; tau = 0.65918

descent iter#54; J = 0.0135012; |GJ| = 0.0373288; tau = 0.0205994

descent iter#55; J = 0.0134796; |GJ| = 0.0194008; tau = 0.0205994

descent iter#56; J = 0.0134734; |GJ| = 0.0129425; tau = 0.0411987

descent iter#57; J = 0.0134675; |GJ| = 0.0113566; tau = 0.65918

descent iter#58; J = 0.0133988; |GJ| = 0.03011; tau = 0.0205994

descent iter#59; J = 0.0133848; |GJ| = 0.0160014; tau = 0.0205994

descent iter#60; J = 0.0133804; |GJ| = 0.0118364; tau = 0.0823975

descent iter#61; J = 0.013371; |GJ| = 0.0129935; tau = 0.0411987

descent iter#62; J = 0.0133653; |GJ| = 0.0111128; tau = 0.32959

descent iter#63; J = 0.0133323; |GJ| = 0.0228645; tau = 0.0205994

descent iter#64; J = 0.0133245; |GJ| = 0.01255; tau = 0.0411987

descent iter#65; J = 0.0133191; |GJ| = 0.0109525; tau = 0.32959

descent iter#66; J = 0.0132865; |GJ| = 0.0219801; tau = 0.0205994

descent iter#67; J = 0.0132792; |GJ| = 0.0122443; tau = 0.0411987

descent iter#68; J = 0.013274; |GJ| = 0.0108119; tau = 0.32959

descent iter#69; J = 0.0132421; |GJ| = 0.0216385; tau = 0.0205994

descent iter#70; J = 0.013235; |GJ| = 0.0120375; tau = 0.0411987

descent iter#71; J = 0.01323; |GJ| = 0.0106879; tau = 0.32959

descent iter#72; J = 0.0131991; |GJ| = 0.021753; tau = 0.0205994

descent iter#73; J = 0.013192; |GJ| = 0.0119081; tau = 0.0411987

descent iter#74; J = 0.0131871; |GJ| = 0.0105789; tau = 0.32959

descent iter#75; J = 0.0131573; |GJ| = 0.0222862; tau = 0.0205994

descent iter#76; J = 0.0131499; |GJ| = 0.0118447; tau = 0.0411987

descent iter#77; J = 0.0131451; |GJ| = 0.0104844; tau = 0.32959

descent iter#78; J = 0.0131166; |GJ| = 0.0232331; tau = 0.0205994

descent iter#79; J = 0.0131087; |GJ| = 0.0118425; tau = 0.0411987

descent iter#80; J = 0.013104; |GJ| = 0.0104048; tau = 0.32959

descent iter#81; J = 0.0130772; |GJ| = 0.0246073; tau = 0.0102997

descent iter#82; J = 0.0130719; |GJ| = 0.0174681; tau = 0.0205994

descent iter#83; J = 0.0130671; |GJ| = 0.0109234; tau = 0.0823975

descent iter#84; J = 0.0130592; |GJ| = 0.0123636; tau = 0.0411987

descent iter#85; J = 0.0130544; |GJ| = 0.0103583; tau = 0.164795

descent iter#86; J = 0.0130396; |GJ| = 0.0148847; tau = 0.0205994

descent iter#87; J = 0.0130358; |GJ| = 0.0106643; tau = 0.0823975

descent iter#88; J = 0.013028; |GJ| = 0.0119094; tau = 0.0411987

descent iter#89; J = 0.0130234; |GJ| = 0.0102746; tau = 0.164795

descent iter#90; J = 0.0130088; |GJ| = 0.0151254; tau = 0.0205994

descent iter#91; J = 0.0130051; |GJ| = 0.0104701; tau = 0.164795

descent iter#92; J = 0.012992; |GJ| = 0.0176747; tau = 0.0205994

descent iter#93; J = 0.0129871; |GJ| = 0.0110412; tau = 0.0823975

descent iter#94; J = 0.0129798; |GJ| = 0.013216; tau = 0.0205994

descent iter#95; J = 0.0129767; |GJ| = 0.0101886; tau = 0.164795

descent iter#96; J = 0.0129627; |GJ| = 0.015103; tau = 0.0205994

descent iter#97; J = 0.0129589; |GJ| = 0.0105059; tau = 0.0823975

descent iter#98; J = 0.0129514; |GJ| = 0.011886; tau = 0.0411987

descent iter#99; J = 0.0129469; |GJ| = 0.0101534; tau = 0.164795

descent iter#100; J = 0.0129333; |GJ| = 0.0159954; tau = 0.0205994

descent iter#101; J = 0.0129293; |GJ| = 0.0103729; tau = 0.0823975

descent iter#102; J = 0.0129219; |GJ| = 0.0116036; tau = 0.0411987

descent iter#103; J = 0.0129175; |GJ| = 0.0100233; tau = 0.164795

descent iter#104; J = 0.0129037; |GJ| = 0.0147217; tau = 0.0205994

descent iter#105; J = 0.0129001; |GJ| = 0.010301; tau = 0.0823975

descent iter#106; J = 0.0128928; |GJ| = 0.0116121; tau = 0.0411987

descent iter#107; J = 0.0128885; |GJ| = 0.0100174; tau = 0.164795

descent iter#108; J = 0.0128753; |GJ| = 0.015962; tau = 0.0205994

descent iter#109; J = 0.0128713; |GJ| = 0.0102215; tau = 0.0823975

descent iter#110; J = 0.0128641; |GJ| = 0.0114734; tau = 0.0411987

descent iter#111; J = 0.0128598; |GJ| = 0.00991737; tau = 0.164795

descent iter#112; J = 0.0128466; |GJ| = 0.015027; tau = 0.0205994

descent iter#113; J = 0.0128429; |GJ| = 0.0102105; tau = 0.0823975

descent iter#114; J = 0.0128359; |GJ| = 0.0116576; tau = 0.0411987

descent iter#115; J = 0.0128316; |GJ| = 0.00995474; tau = 0.164795

descent iter#116; J = 0.0128193; |GJ| = 0.0168664; tau = 0.0205994

descent iter#117; J = 0.0128149; |GJ| = 0.010175; tau = 0.0823975

descent iter#118; J = 0.012808; |GJ| = 0.0116329; tau = 0.0411987

descent iter#119; J = 0.0128037; |GJ| = 0.00987543; tau = 0.164795

descent iter#120; J = 0.0127914; |GJ| = 0.0160745; tau = 0.0205994

descent iter#121; J = 0.0127873; |GJ| = 0.0102395; tau = 0.0823975

descent iter#122; J = 0.0127805; |GJ| = 0.0120596; tau = 0.0411987

descent iter#123; J = 0.0127762; |GJ| = 0.00998995; tau = 0.0823975

descent iter#124; J = 0.0127694; |GJ| = 0.0113443; tau = 0.0411987

descent iter#125; J = 0.0127653; |GJ| = 0.00980587; tau = 0.164795

descent iter#126; J = 0.0127533; |GJ| = 0.0167756; tau = 0.0205994

descent iter#127; J = 0.012749; |GJ| = 0.0100012; tau = 0.0823975

descent iter#128; J = 0.0127423; |GJ| = 0.0114615; tau = 0.0411987

descent iter#129; J = 0.0127382; |GJ| = 0.00976485; tau = 0.164795

descent iter#130; J = 0.0127265; |GJ| = 0.0164251; tau = 0.0205994

descent iter#131; J = 0.0127222; |GJ| = 0.0101373; tau = 0.0823975

descent iter#132; J = 0.0127157; |GJ| = 0.0121132; tau = 0.0205994

descent iter#133; J = 0.0127132; |GJ| = 0.00949461; tau = 0.32959

descent iter#134; J = 0.0126913; |GJ| = 0.0227783; tau = 0.0205994

descent iter#135; J = 0.0126837; |GJ| = 0.0112189; tau = 0.0411987

descent iter#136; J = 0.0126797; |GJ| = 0.00964882; tau = 0.164795

descent iter#137; J = 0.0126684; |GJ| = 0.0164687; tau = 0.0205994

descent iter#138; J = 0.0126641; |GJ| = 0.0100051; tau = 0.0823975

descent iter#139; J = 0.0126578; |GJ| = 0.0120255; tau = 0.0205994

descent iter#140; J = 0.0126553; |GJ| = 0.00936897; tau = 0.32959

descent iter#141; J = 0.0126339; |GJ| = 0.0224198; tau = 0.0205994

descent iter#142; J = 0.0126265; |GJ| = 0.0109711; tau = 0.0411987

descent iter#143; J = 0.0126227; |GJ| = 0.00953309; tau = 0.164795

descent iter#144; J = 0.0126117; |GJ| = 0.0164322; tau = 0.0205994

descent iter#145; J = 0.0126075; |GJ| = 0.00986667; tau = 0.0823975

descent iter#146; J = 0.0126013; |GJ| = 0.0118984; tau = 0.0205994

descent iter#147; J = 0.0125989; |GJ| = 0.00924675; tau = 0.32959

descent iter#148; J = 0.0125777; |GJ| = 0.021911; tau = 0.0205994

descent iter#149; J = 0.0125707; |GJ| = 0.0107063; tau = 0.0411987

descent iter#150; J = 0.012567; |GJ| = 0.00941356; tau = 0.164795

descent iter#151; J = 0.0125562; |GJ| = 0.0162663; tau = 0.0205994

descent iter#152; J = 0.0125522; |GJ| = 0.009716; tau = 0.0823975

descent iter#153; J = 0.0125461; |GJ| = 0.0117099; tau = 0.0205994

descent iter#154; J = 0.0125437; |GJ| = 0.00912637; tau = 0.32959

descent iter#155; J = 0.0125227; |GJ| = 0.0211908; tau = 0.0205994

descent iter#156; J = 0.0125162; |GJ| = 0.0104176; tau = 0.0411987

descent iter#157; J = 0.0125126; |GJ| = 0.00928702; tau = 0.164795

descent iter#158; J = 0.012502; |GJ| = 0.0159255; tau = 0.0205994

descent iter#159; J = 0.0124981; |GJ| = 0.00954924; tau = 0.0823975

descent iter#160; J = 0.0124921; |GJ| = 0.0114426; tau = 0.0205994

descent iter#161; J = 0.0124899; |GJ| = 0.00900694; tau = 0.32959

descent iter#162; J = 0.0124688; |GJ| = 0.020213; tau = 0.0205994

descent iter#163; J = 0.0124628; |GJ| = 0.0101044; tau = 0.0411987

descent iter#164; J = 0.0124594; |GJ| = 0.00915185; tau = 0.164795

descent iter#165; J = 0.0124488; |GJ| = 0.015376; tau = 0.0205994

descent iter#166; J = 0.0124451; |GJ| = 0.00936603; tau = 0.0823975

descent iter#167; J = 0.0124393; |GJ| = 0.0110891; tau = 0.0411987

