                                Max     Line search  Directional  First-order 
 Iter F-count        f(x)   constraint   steplength   derivative   optimality Procedure 
    0      1    0.0804432           -1                                         
    1      3    0.0803525      -0.9986            1     -0.00952      0.00138   
    2      5    0.0612006      -0.7393            1     -0.00955      0.00302  Hessian modified twice  
    3      7    0.0420742      -0.5114            1      -0.0135      0.00576  Hessian modified twice  
    4      9    0.0292283      -0.1731            1      -0.0174        0.017  Hessian modified twice  
    5     12    0.0256747      -0.2762          0.5      -0.0274       0.0102   
    6     14    0.0249657      -0.2414            1       -0.013      0.00929   
    7     18    0.0248772      -0.2257         0.25     -0.00909      0.00838   
    8     21    0.0248388      -0.2044          0.5     -0.00857      0.00662   
    9     23    0.0247726      -0.1699            1     -0.00948      0.00525   
   10     25    0.0241509      -0.1474            1      -0.0158      0.00522  Hessian modified  
   11     28    0.0219568     -0.09678          0.5      -0.0164       0.0392  Hessian modified  
   12     30     0.017276     -0.07664            1      -0.0153         0.04   
   13     32    0.0133802     -0.08819            1      -0.0117       0.0799   
   14     35    0.0112179     -0.04473          0.5     -0.00798        0.677   
   15     37   0.00969061      -0.0833            1       -0.294       0.0624   
   16     40   0.00903314      -0.0576          0.5     -0.00626        0.171   
   17     42   0.00738502     -0.07848            1      -0.0145       0.0414   
   18     44   0.00572689     -0.07167            1     -0.00274        0.013   
   19     46   0.00569133     -0.05697            1     -0.00169        0.319  Hessian modified  
   20     48   0.00445067     -0.06274            1      -0.0297       0.0216   
   21     50   0.00373302     -0.05665            1     -0.00154       0.0345   
   22     53   0.00354692     -0.04625          0.5     -0.00131        0.457  Hessian modified  
   23     55   0.00283266     -0.05166            1       -0.016       0.0493   
   24     57   0.00238063     -0.05084            1     -0.00102        0.042   
   25     60   0.00136127     -0.05085          0.5     -0.00106        0.172  Hessian modified  
   26     62   0.00113505     -0.04746            1     -0.00575       0.0396   
   27     64  0.000843978     -0.04682            1     -0.00049       0.0354   
   28     66  0.000451587     -0.04481            1    -0.000312       0.0437  Hessian modified  
   29     68  0.000315368     -0.04371            1    -0.000211       0.0271  Hessian modified  
   30     70  0.000183835     -0.03982            1    -0.000159       0.0845  Hessian modified  
   31     72  0.000159545     -0.04191            1    -0.000657       0.0623  Hessian modified  
   32     74  0.000140353     -0.04106            1    -0.000452      0.00715  Hessian modified  
   33     76  0.000138147     -0.04091            1    -5.02e-05       0.0027  Hessian modified  
   34     78    0.0001327     -0.04084            1    -6.43e-05       0.0136  Hessian modified  
   35     80  0.000120889     -0.04091            1    -5.52e-05       0.0341  Hessian modified  
   36     82  0.000116307     -0.04116            1     -0.00029       0.0237  Hessian modified  
   37     84  0.000109703     -0.04172            1     -6.1e-05      0.00464  Hessian modified  
   38     86  0.000108844     -0.04187            1    -0.000168      0.00299  Hessian modified  

Optimization stopped because the <a href = "matlab: helpview([docroot '/toolbox/optim/msg_csh/optim_msg_csh.map'],'pred_change','CSHelpWindow');">predicted change in the objective function</a>,
4.659600e-07, is less than <a href = "matlab: helpview([docroot '/toolbox/optim/msg_csh/optim_msg_csh.map'],'tolfun','CSHelpWindow');">options.TolFun</a> = 1.000000e-06, and the maximum constraint
violation, -4.186522e-02, is less than <a href = "matlab: helpview([docroot '/toolbox/optim/msg_csh/optim_msg_csh.map'],'tol_con','CSHelpWindow');">options.TolCon</a> = 1.000000e-06.

Optimization Metric                                                 Options
abs(steplength*directional derivative) =   4.66e-07        TolFun =   1e-06 (default)
max(constraint violation) =  -4.19e-02                     TolCon =   1e-06 (default)

No active inequalities.
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
     0           1         0.425747                         0.165
     1           4         0.108642        2.13232          0.165  
     2           6        0.0903302       0.280402          0.224  
     3           8        0.0620391       0.377494          0.105  
     4           9        0.0449571              1         0.0376  
     5          10        0.0409911              1          0.117  
     6          11        0.0363169              1         0.0608  
     7          12        0.0294374              1         0.0371  
     8          13        0.0257387              1         0.0201  
     9          14         0.022252              1         0.0439  
    10          15        0.0189695              1         0.0222  
    11          16         0.015466              1         0.0104  
    12          17        0.0130199              1         0.0129  
    13          18        0.0112578              1        0.00762  
    14          19       0.00975298              1        0.00681  
    15          20       0.00846838              1        0.00753  
    16          21       0.00742736              1        0.00511  
    17          22       0.00663704              1        0.00466  
    18          23       0.00593502              1        0.00568  
    19          24       0.00527885              1        0.00424  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
    20          25        0.0048032              1         0.0043  
    21          26       0.00443626              1        0.00243  
    22          27       0.00409944              1        0.00361  
    23          28       0.00379312              1         0.0032  
    24          29       0.00351952              1        0.00223  
    25          30       0.00328754              1        0.00199  
    26          31       0.00306807              1        0.00195  
    27          32       0.00287038              1        0.00257  
    28          33       0.00268564              1        0.00199  
    29          34       0.00252169              1        0.00381  
    30          35       0.00236488              1        0.00186  
    31          36       0.00222134              1        0.00344  
    32          37       0.00207301              1         0.0018  
    33          38       0.00196323              1        0.00224  
    34          39       0.00187496              1        0.00104  
    35          40       0.00179714              1        0.00146  
    36          41       0.00171186              1        0.00158  
    37          42       0.00164068              1        0.00189  
    38          43       0.00158102              1        0.00107  
    39          44       0.00153498              1        0.00115  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
    40          45        0.0014867              1        0.00111  
    41          46       0.00144427              1       0.000972  
    42          47       0.00140271              1       0.000808  
    43          48        0.0013666              1       0.000733  
    44          49        0.0013274              1        0.00101  
    45          50       0.00128736              1        0.00111  
    46          51       0.00124709              1       0.000789  
    47          52       0.00121161              1       0.000831  
    48          53       0.00117581              1       0.000779  
    49          54       0.00114084              1         0.0012  
    50          55       0.00110282              1        0.00074  
    51          56       0.00106728              1       0.000755  
    52          57       0.00103271              1       0.000747  
    53          58       0.00100206              1       0.000891  
    54          59      0.000970716              1       0.000631  
    55          60      0.000944338              1       0.000691  
    56          61      0.000918941              1       0.000589  
    57          62       0.00089834              1       0.000742  
    58          63      0.000878488              1       0.000606  
    59          64      0.000861298              1       0.000539  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
    60          65      0.000843926              1       0.000554  
    61          66       0.00082828              1       0.000665  
    62          67      0.000812814              1       0.000621  
    63          68       0.00079936              1       0.000426  
    64          69      0.000786526              1       0.000445  
    65          70      0.000774918              1       0.000554  
    66          71      0.000764546              1       0.000408  
    67          72       0.00075558              1       0.000333  
    68          73      0.000746892              1       0.000382  
    69          74      0.000738468              1        0.00053  
    70          75      0.000730437              1       0.000667  
    71          76      0.000723011              1       0.000355  
    72          77      0.000715182              1       0.000374  
    73          78       0.00070645              1       0.000517  
    74          79      0.000697067              1       0.000586  
    75          80      0.000687524              1       0.000449  
    76          81      0.000678566              1       0.000344  
    77          82      0.000669971              1       0.000335  
    78          83      0.000661055              1       0.000435  
    79          84      0.000651959              1       0.000492  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
    80          85      0.000642766              1       0.000357  
    81          86      0.000634343              1       0.000292  
    82          87      0.000626506              1       0.000335  
    83          88      0.000619334              1       0.000441  
    84          89      0.000612713              1       0.000338  
    85          90      0.000607107              1       0.000347  
    86          91      0.000601614              1       0.000256  
