  %% main computation
  [v,v_T,v_end,f,f_T,s_end,s_T,J_hist,Jc_hist,...
    D_0,D_T,D_endp,D_end] = main(init_data,target_data,...
    imax,aC,bC,tC,etolC,aS,bS,tS,etolS,...
    numeig,pert);

About to descent, first step might be slow...

descent iter#1; J = 0.10048; |GJ| = 0.00555526; tau = 1760

descent iter#2; J = 0.0316657; |GJ| = 0.0771289; tau = 0.0537109

descent iter#3; J = 0.0314133; |GJ| = 0.0488506; tau = 0.107422

descent iter#4; J = 0.0312073; |GJ| = 0.0324166; tau = 0.214844

descent iter#5; J = 0.0310214; |GJ| = 0.0229549; tau = 0.859375

descent iter#6; J = 0.0306829; |GJ| = 0.0166278; tau = 1.71875

descent iter#7; J = 0.0302846; |GJ| = 0.0195404; tau = 0.214844

descent iter#8; J = 0.0302224; |GJ| = 0.0138054; tau = 6.875

descent iter#9; J = 0.0292341; |GJ| = 0.0255469; tau = 0.214844

descent iter#10; J = 0.0291253; |GJ| = 0.0127687; tau = 0.214844

descent iter#11; J = 0.0290985; |GJ| = 0.0109999; tau = 0.429688

descent iter#12; J = 0.0290561; |GJ| = 0.0127902; tau = 0.214844

descent iter#13; J = 0.0290299; |GJ| = 0.011105; tau = 0.429688

descent iter#14; J = 0.0289895; |GJ| = 0.0134868; tau = 0.161133

descent iter#15; J = 0.0289667; |GJ| = 0.0102718; tau = 5.15625

descent iter#16; J = 0.0285248; |GJ| = 0.0289819; tau = 0.161133

descent iter#17; J = 0.0284288; |GJ| = 0.0110004; tau = 0.161133

descent iter#18; J = 0.0284125; |GJ| = 0.010051; tau = 0.644531

descent iter#19; J = 0.0283614; |GJ| = 0.0156015; tau = 0.0805664

descent iter#20; J = 0.0283455; |GJ| = 0.0106357; tau = 0.322266

descent iter#21; J = 0.0283198; |GJ| = 0.0147164; tau = 0.0805664

descent iter#22; J = 0.0283072; |GJ| = 0.00963173; tau = 5.15625

descent iter#23; J = 0.0279102; |GJ| = 0.0303732; tau = 0.0805664

descent iter#24; J = 0.0278493; |GJ| = 0.0185082; tau = 0.0805664

descent iter#25; J = 0.0278287; |GJ| = 0.0103134; tau = 0.161133

descent iter#26; J = 0.0278146; |GJ| = 0.0100081; tau = 0.322266

descent iter#27; J = 0.0277913; |GJ| = 0.0133635; tau = 0.0805664

descent iter#28; J = 0.0277799; |GJ| = 0.0093586; tau = 0.966797

descent iter#29; J = 0.0277138; |GJ| = 0.023734; tau = 0.0302124

descent iter#30; J = 0.0277004; |GJ| = 0.0145658; tau = 0.0604248

descent iter#31; J = 0.0276908; |GJ| = 0.00936799; tau = 0.966797

descent iter#32; J = 0.0276275; |GJ| = 0.0199122; tau = 0.0604248

descent iter#33; J = 0.0276084; |GJ| = 0.0123068; tau = 0.0906372

descent iter#34; J = 0.0275977; |GJ| = 0.00907888; tau = 92.8125

descent iter#35; J = 0.0216285; |GJ| = 0.15378; tau = 0.0113297

descent iter#36; J = 0.021414; |GJ| = 0.0958942; tau = 0.0226593

descent iter#37; J = 0.0212624; |GJ| = 0.0473124; tau = 0.0226593

descent iter#38; J = 0.0212211; |GJ| = 0.0303884; tau = 0.0453186

descent iter#39; J = 0.0211912; |GJ| = 0.0145275; tau = 0.0453186

descent iter#40; J = 0.0211833; |GJ| = 0.0102508; tau = 0.0906372

descent iter#41; J = 0.0211752; |GJ| = 0.00831946; tau = 3.62549

descent iter#42; J = 0.0209498; |GJ| = 0.0331826; tau = 0.0283241

descent iter#43; J = 0.0209237; |GJ| = 0.0228517; tau = 0.0566483

descent iter#44; J = 0.0209015; |GJ| = 0.0131148; tau = 0.113297

descent iter#45; J = 0.0208858; |GJ| = 0.0103518; tau = 0.906372

descent iter#46; J = 0.020803; |GJ| = 0.016472; tau = 0.0566483

descent iter#47; J = 0.020792; |GJ| = 0.00941911; tau = 0.226593

descent iter#48; J = 0.0207751; |GJ| = 0.0100916; tau = 0.113297

descent iter#49; J = 0.0207658; |GJ| = 0.00871077; tau = 0.453186

descent iter#50; J = 0.0207389; |GJ| = 0.0130991; tau = 0.0566483

descent iter#51; J = 0.0207314; |GJ| = 0.00828986; tau = 0.226593

