  %% main computation
  [v,v_T,v_end,f,f_T,s_end,s_T,J_hist,Jc_hist,...
    D_0,D_T,D_endp,D_end] = main(init_data,target_data,...
    imax,aC,bC,tC,etolC,aS,bS,tS,etolS,...
    numeig,pert);

About to descent, first step might be slow...

descent iter#1; J = 0.0810203; |GJ| = 0.00959255; tau = 560

descent iter#2; J = 0.0280193; |GJ| = 0.022042; tau = 8.75

descent iter#3; J = 0.0249002; |GJ| = 0.0133829; tau = 52.5

descent iter#4; J = 0.0175034; |GJ| = 0.00903142; tau = 9.84375

descent iter#5; J = 0.0168675; |GJ| = 0.0181177; tau = 0.307617

descent iter#6; J = 0.0167849; |GJ| = 0.0123393; tau = 0.615234

descent iter#7; J = 0.0167076; |GJ| = 0.00908912; tau = 4.92188

descent iter#8; J = 0.0164043; |GJ| = 0.0101606; tau = 2.46094

descent iter#9; J = 0.016203; |GJ| = 0.00840155; tau = 4.92188

descent iter#10; J = 0.0159146; |GJ| = 0.00994024; tau = 1.23047

descent iter#11; J = 0.0158094; |GJ| = 0.00792491; tau = 9.84375

descent iter#12; J = 0.015352; |GJ| = 0.0271931; tau = 0.153809

descent iter#13; J = 0.0152635; |GJ| = 0.016103; tau = 0.307617

descent iter#14; J = 0.0152051; |GJ| = 0.00904771; tau = 0.615234

descent iter#15; J = 0.0151627; |GJ| = 0.00744271; tau = 118.125

descent iter#16; J = 0.0100274; |GJ| = 0.00612251; tau = 0.461426

descent iter#17; J = 0.0100141; |GJ| = 0.00489496; tau = 3.69141

descent iter#18; J = 0.0099382; |GJ| = 0.00867073; tau = 0.230713

descent iter#19; J = 0.00992475; |GJ| = 0.00544138; tau = 0.922852

descent iter#20; J = 0.00990508; |GJ| = 0.00592562; tau = 0.461426

descent iter#21; J = 0.00989221; |GJ| = 0.00477474; tau = 118.125

descent iter#22; J = 0.00765319; |GJ| = 0.0864538; tau = 0.0144196

descent iter#23; J = 0.0075714; |GJ| = 0.0461329; tau = 0.0144196

descent iter#24; J = 0.00754694; |GJ| = 0.0277695; tau = 0.0144196

descent iter#25; J = 0.00753786; |GJ| = 0.0177392; tau = 0.0144196

descent iter#26; J = 0.00753409; |GJ| = 0.0118234; tau = 0.0144196

descent iter#27; J = 0.00753239; |GJ| = 0.00823169; tau = 0.0288391

descent iter#28; J = 0.00753097; |GJ| = 0.00427682; tau = 0.0576782

descent iter#29; J = 0.00753016; |GJ| = 0.00348937; tau = 0.461426

descent iter#30; J = 0.00752573; |GJ| = 0.00745243; tau = 0.0288391

descent iter#31; J = 0.00752454; |GJ| = 0.00411289; tau = 0.0576782

descent iter#32; J = 0.00752376; |GJ| = 0.00347237; tau = 0.461426

descent iter#33; J = 0.00751913; |GJ| = 0.00679075; tau = 0.0288391

descent iter#34; J = 0.00751813; |GJ| = 0.00397872; tau = 0.0576782

descent iter#35; J = 0.00751737; |GJ| = 0.00345866; tau = 0.922852

descent iter#36; J = 0.00750934; |GJ| = 0.0117347; tau = 0.0144196

descent iter#37; J = 0.00750766; |GJ| = 0.00817511; tau = 0.0288391

descent iter#38; J = 0.00750626; |GJ| = 0.00425901; tau = 0.0576782

descent iter#39; J = 0.00750545; |GJ| = 0.00348149; tau = 0.461426

descent iter#40; J = 0.00750103; |GJ| = 0.00740955; tau = 0.0288391

descent iter#41; J = 0.00749986; |GJ| = 0.00409849; tau = 0.0576782

descent iter#42; J = 0.00749908; |GJ| = 0.00346487; tau = 0.461426

descent iter#43; J = 0.00749447; |GJ| = 0.00675757; tau = 0.0288391

descent iter#44; J = 0.00749348; |GJ| = 0.00396668; tau = 0.0576782

descent iter#45; J = 0.00749272; |GJ| = 0.00345143; tau = 0.922852

descent iter#46; J = 0.0074847; |GJ| = 0.0116749; tau = 0.0144196

descent iter#47; J = 0.00748304; |GJ| = 0.00813692; tau = 0.0288391

descent iter#48; J = 0.00748165; |GJ| = 0.00424602; tau = 0.0576782

descent iter#49; J = 0.00748085; |GJ| = 0.00347427; tau = 0.461426

descent iter#50; J = 0.00747644; |GJ| = 0.00737715; tau = 0.0288391

