
About to descent, first step might be slow...

descent iter#1; J = 0.0735216; |GJ| = 0.00731609; tau = 460

descent iter#2; J = 0.0252231; |GJ| = 1.49817; tau = 0.00350952

descent iter#3; J = 0.0197021; |GJ| = 0.691568; tau = 0.00350952

descent iter#4; J = 0.0183114; |GJ| = 0.465887; tau = 0.00701904

descent iter#5; J = 0.0171611; |GJ| = 0.25222; tau = 0.00701904

descent iter#6; J = 0.0167916; |GJ| = 0.168456; tau = 0.0140381

descent iter#7; J = 0.0165001; |GJ| = 0.0829004; tau = 0.0140381

descent iter#8; J = 0.016423; |GJ| = 0.0510352; tau = 0.0140381

descent iter#9; J = 0.0163923; |GJ| = 0.0356021; tau = 0.0280762

descent iter#10; J = 0.0163652; |GJ| = 0.0219877; tau = 0.112305

descent iter#11; J = 0.0163238; |GJ| = 0.0237634; tau = 0.0561523

descent iter#12; J = 0.0162983; |GJ| = 0.0195526; tau = 0.898438

descent iter#13; J = 0.0160313; |GJ| = 0.0487032; tau = 0.0280762

descent iter#14; J = 0.0159802; |GJ| = 0.0269003; tau = 0.0280762

descent iter#15; J = 0.0159635; |GJ| = 0.0189727; tau = 0.112305

descent iter#16; J = 0.0159325; |GJ| = 0.0219082; tau = 0.0561523

descent iter#17; J = 0.015913; |GJ| = 0.0178366; tau = 0.224609

descent iter#18; J = 0.0158604; |GJ| = 0.0306658; tau = 0.0280762

descent iter#19; J = 0.0158411; |GJ| = 0.0178387; tau = 0.112305

descent iter#20; J = 0.015812; |GJ| = 0.0199581; tau = 0.0561523

descent iter#21; J = 0.0157945; |GJ| = 0.0169309; tau = 0.224609

descent iter#22; J = 0.0157416; |GJ| = 0.0246186; tau = 0.0280762

descent iter#23; J = 0.0157278; |GJ| = 0.0172481; tau = 0.112305

descent iter#24; J = 0.0157007; |GJ| = 0.0198697; tau = 0.0561523

descent iter#25; J = 0.0156844; |GJ| = 0.0167706; tau = 0.112305

descent iter#26; J = 0.0156577; |GJ| = 0.0188721; tau = 0.0561523

descent iter#27; J = 0.0156423; |GJ| = 0.016413; tau = 0.224609

descent iter#28; J = 0.0155982; |GJ| = 0.0294069; tau = 0.0280762

descent iter#29; J = 0.0155809; |GJ| = 0.0162857; tau = 0.112305

descent iter#30; J = 0.0155559; |GJ| = 0.0183417; tau = 0.0561523

descent iter#31; J = 0.0155412; |GJ| = 0.0159207; tau = 0.224609

descent iter#32; J = 0.0154989; |GJ| = 0.0265833; tau = 0.0280762

descent iter#33; J = 0.0154837; |GJ| = 0.016397; tau = 0.112305

descent iter#34; J = 0.0154611; |GJ| = 0.020256; tau = 0.0280762

descent iter#35; J = 0.0154517; |GJ| = 0.0151424; tau = 0.449219

descent iter#36; J = 0.0153731; |GJ| = 0.034142; tau = 0.0280762

descent iter#37; J = 0.0153496; |GJ| = 0.0172374; tau = 0.0561523

descent iter#38; J = 0.0153367; |GJ| = 0.0152235; tau = 0.112305

descent iter#39; J = 0.015315; |GJ| = 0.0175975; tau = 0.0561523

descent iter#40; J = 0.0153021; |GJ| = 0.0152849; tau = 0.112305

descent iter#41; J = 0.0152813; |GJ| = 0.0182248; tau = 0.0421143

descent iter#42; J = 0.0152704; |GJ| = 0.0142405; tau = 1.34766

descent iter#43; J = 0.0150737; |GJ| = 0.0572645; tau = 0.0210571

descent iter#44; J = 0.0150206; |GJ| = 0.0307607; tau = 0.0210571

descent iter#45; J = 0.0150052; |GJ| = 0.0179279; tau = 0.0421143

descent iter#46; J = 0.0149954; |GJ| = 0.0134322; tau = 0.336914

descent iter#47; J = 0.0149459; |GJ| = 0.0256466; tau = 0.0210571

descent iter#48; J = 0.014935; |GJ| = 0.015921; tau = 0.0421143

descent iter#49; J = 0.0149265; |GJ| = 0.0131489; tau = 0.673828

descent iter#50; J = 0.0148423; |GJ| = 0.04067; tau = 0.0210571

descent iter#51; J = 0.0148162; |GJ| = 0.0210577; tau = 0.0210571

descent iter#52; J = 0.0148086; |GJ| = 0.01423; tau = 0.0842285

descent iter#53; J = 0.0147963; |GJ| = 0.0163792; tau = 0.0421143

descent iter#54; J = 0.0147881; |GJ| = 0.0129672; tau = 0.168457

descent iter#55; J = 0.0147644; |GJ| = 0.0186612; tau = 0.0210571

descent iter#56; J = 0.0147584; |GJ| = 0.0132742; tau = 0.0842285

descent iter#57; J = 0.0147459; |GJ| = 0.0143602; tau = 0.0421143

descent iter#58; J = 0.0147386; |GJ| = 0.0125879; tau = 0.673828

descent iter#59; J = 0.0146614; |GJ| = 0.0398233; tau = 0.0210571

descent iter#60; J = 0.0146367; |GJ| = 0.0197924; tau = 0.0210571

descent iter#61; J = 0.0146301; |GJ| = 0.0134137; tau = 0.0842285

descent iter#62; J = 0.0146186; |GJ| = 0.0154532; tau = 0.0421143

descent iter#63; J = 0.0146112; |GJ| = 0.0125295; tau = 0.168457

descent iter#64; J = 0.0145899; |GJ| = 0.0191443; tau = 0.0210571

descent iter#65; J = 0.0145838; |GJ| = 0.0128394; tau = 0.0842285

descent iter#66; J = 0.0145723; |GJ| = 0.0141606; tau = 0.0421143

