                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
     0           1           1.1526                        0.0592
     1           2         0.461315              1           41.5  
     2           4         0.332354       0.153252           20.9  
     3           5         0.283606              1           2.72  
     4           6         0.282194              1          0.562  
     5           7         0.281972              1          0.517  
     6           8          0.28072              1          0.855  
     7           9         0.280334              1          0.603  
     8          10         0.280077              1          0.309  
     9          11         0.279875              1          0.384  
    10          12         0.279369              1           0.88  
    11          13         0.278489              1           1.44  
    12          14         0.277109              1           1.74  
    13          15          0.27564              1           1.37  
    14          16         0.274367              1          0.891  
    15          17         0.273204              1           1.21  
    16          18         0.271953              1           1.38  
    17          19         0.270844              1           1.15  
    18          20         0.270168              1          0.645  
    19          21         0.269783              1          0.553  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
    20          22         0.269433              1          0.796  
    21          23         0.269064              1          0.666  
    22          24          0.26878              1          0.433  
    23          25         0.268578              1          0.297  
    24          26         0.268341              1          0.629  
    25          27         0.267914              1           1.01  
    26          28         0.267259              1           1.15  
    27          29         0.266603              1          0.829  
    28          30         0.266229              1           0.33  
    29          31         0.266035              1          0.276  
    30          32           0.2658              1          0.617  
    31          33         0.265324              1          0.972  
    32          34         0.264507              1           1.16  
    33          35         0.263492              1          0.941  
    34          36         0.262706              1          0.443  
    35          37         0.262228              1          0.406  
    36          38         0.261797              1          0.603  
    37          39          0.26117              1          0.771  
    38          40         0.260356              1          0.656  
    39          41          0.25959              1          0.538  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
    40          42         0.259061              1          0.372  
    41          43         0.258664              1          0.421  
    42          44         0.258216              1          0.521  
    43          45         0.257618              1          0.686  
    44          46         0.256932              1          0.637  
    45          47         0.256366              1          0.471  
    46          48         0.256046              1          0.323  
    47          49         0.255869              1          0.226  
    48          50         0.255691              1          0.304  
    49          51         0.255395              1          0.496  
    50          52         0.254911              1           0.77  
    51          53         0.254262              1          0.797  
    52          54         0.253618              1          0.466  
    53          55         0.253067              1          0.471  
    54         
